Name Code,Lat,Long,Region,Names,Gage #s,Flow (TAF/yr),NCAR Description,Res. Capacity (TAF),My Description,Updated Historical Data,ORG,Lat,Long,Description,Average Flow (TAF/yr) from 1950-1999
FOL_I,38.683,-121.183,CALI,American R,0,3128,"AMF American R at Folsom Dam, CA ",977,Downstream of Folsom Dam of Folsom Lake on the American River,Yes - new,CDEC,38.683,-121.183,Daily FNF,3581
RALST,36.504,-96.728,ARKRED,Arkansas R,7152500,5088,"Arkansas River at Ralston, OK ",,Arkansas River (no dam),Yes - new,USGS,36.5042,-96.7281,Gage,6559
HASKE,35.821,-95.639,ARKRED,Arkansas R,7165570,7609,Arkansas River nr Haskell ,,Arkansas River (no dam),Yes - new,USGS,35.8228,-95.6378,Gage,9805
BUREN,35.428,-94.36,ARKRED,Arkansas R,7250500,933,"Arkansas R at Van Buren, AR ",0,Arkansas River (no dam),,,35.428,-94.36,,28881
LITLR,34.75,-92.274,ARKRED,Arkansas R,7263500,1120,"Arkansas River at Little Rock, AR ",0,Arkansas River (no dam),,,34.75,-92.274,,34681
BHSTX,45.317,-107.919,MO,Bighorn R,0,98,"Bighorn River near St. Xavier, MT ",1381,Yellowtail Dam on the Bighorn River,,,45.317,-107.919,,3041
BOISE,43.52,-116.05,PNW,Boise R,13202000,44,Boise River at Boise ,307,Lucky Peak Dam on the Boise River,,NRCS,43.53,-116.06,Monthly Adjusted,1351
CHIPR,44.631,-91.9713,UP,Chippewa R,5369500,5706,"Chippewa River At Durand, WI ",0,Chippewa River (no dam),Yes - new,USGS,44.631,-91.9714,Gage,3870
DWORS,46.5,-116.3,PNW,Clearwater R,13340990,95,"Clearwater R at Dworshak, ID ",3468,Dworshak Dam on the Clearwater River,,NRCS,46.52,-116.3,Monthly Adjusted,2943
LESFY,36.87,-111.56,COLO,Colorado R,9380000,12892,"Colorado R at Lees Ferry, AZ ",0,Colorado River downstream of Glen Canyon Dam of Lake Powell,Yes - new,NRCS,36.87,-111.58,Monthly Adjusted,14776
CAMEO,39.14,-108.32,COLO,Colorado R,9095500,3263,"Colorado R near Cameo, CO ",0,Colorado River (no dam),Yes - new,NRCS,39.24,-108.27,Monthly Adjusted,3715
CISCO,38.81,-109.31,COLO,Colorado R,9180500,5701,"Colorado R near Cisco, CO ",0,Colorado River (no dam),Yes - new,NRCS,38.81,-109.29,Monthly Adjusted,6603
PARKR,34.32,-114.16,COLO,Colorado R,9426000,516,"Colorado R above Parker Dam, AZ-CA ",646,Parker Dam on the Colorado River,,,34.32,-114.16,,15980
GRAND,36.277,-112.877,COLO,Colorado R,9402500,492,"Colorado R nr Grand Canyon, AZ ",0,Colorado River (no dam),,,36.277,-112.877,,15258
HOOVR,36.02,-114.74,COLO,Colorado R,9421000,511,Colorado R above Hoover Dam ,28537,Hoover Dam on the Colorado River,,,36.02,-114.74,,15822
ARROW,49.375,-117.875,PNW,Columbia R,12239500,29332,"Columbia River at Keenleyside Dam, BC ",7100,Keenleyside Dam on the Columbia River,Yes - new,NRCS,49.33,-117.75,Monthly Adjusted,28797
GCOUL,48,-119,PNW,Columbia R,12436100,81618,Grand Coulee ,9562,Grand Coulee Dam on the Columbia River,Yes - new,NRCS,47.97,-118.98,Monthly Adjusted,93118
JDAYY,45.7,-120.7,PNW,Columbia R,14048006,135880,John Day ,2530,John Day Dam on the Columbia River,Yes - new,NRCS,45.61,-121.17,Monthly Adjusted,153257
PRIES,46.6,-119.8,PNW,Columbia R,12472710,90423,"Columbia R at Priest Rapids Dam, WA ",,Priest Rapids Dam on the Columbia River,Yes - new,USGS,46.6289,-119.8636,Gage,107330
MICAA,52.077,-118.567,PNW,Columbia R,12227100,538,"Columbia R at Mica Dam, BC ",20075,Mica Dam on the Columbia River,,NRCS,52.07,-118.55,Monthly Adjusted,16674
MOSSY,46.53,-122.42,PNW,Cowlitz R,14234802,4653,Mossyrock ,1685,Mossyrock Dam on the Cowlitz River,Yes - new,NRCS,46.51,-122.62,Monthly Adjusted,3700
SHRVP,32.513,-93.797,ARKRED,Cross Bayou R,7344480,473,"Cross Lake at Shreveport, LA ",215,Cross Lake Dam,,,32.513,-93.797,,14681
DESMN,40.7278,-91.9594,UP,Des Moines R,5490500,5558,"Des Moines River At Keosauqua, IA ",0,Des Moines River (no dam),Yes - new,USGS,40.7278,-91.9594,Gage,3790
PELTO,44.72,-121.23,PNW,Deschutes R,14092455,92,Pelton ,33,Pelton Dam on the Deschutes River,no data on NRCS,,44.72,-121.23,,2840
DUNCA,50.375,-116.875,PNW,Duncan R,12322405,62,"Duncan R at Duncan Dam, BC ",1400,Duncan Dam on the Duncan River,,NRCS,50.25,-116.93,Monthly Adjusted,1927
OROVI,39.522,-121.547,CALI,Feather R,0,4195,"FTO Feather R at Lake Oroville, CA",3538,Oroville Dam of Lake Oroville on the Feather River,Yes - new,CDEC,39.54,-121.493,Daily FNF,3916
KERRR,47.677,-114.234,PNW,Flathead R,12371800,8507,"Flathead R at Kerr Dam, MT ",1217,Kerr Dam on the Flathead River,Yes - new,NRCS,47.68,-114.25,Monthly Adjusted,8354
LOBAT,37.078,-105.756,RIOG,Grande R,0,42,Grande R nr Lobatos CO ,0,Rio Grande (no dam),,,37.078,-105.756,,1308
ALBUQ,35.089,-106.68,RIOG,Grande R,0,74,Grande R at Albuquerque NM ,0,Rio Grande (no dam),,,35.089,-106.68,,2303
GREEN,38.99,-110.05,COLO,Green R,9315000,4184,"Green R at Green R, UT ",0,Green River (no dam),Yes - new,NRCS,38.99,-110.15,Monthly Adjusted,5282
FLGRG,40.917,-109.517,COLO,Green R,9234400,54,FlamingGorge ,3789,Flaming Gorge Dam on the Green River,,,40.917,-109.517,,1670
FONTL,42.028,-110.06,COLO,Green R,9211150,30,Fontanelle Reservoir Inflow ,345,Fontenelle Dam on the Green River,,,42.028,-110.06,,943
MRWPT,38.45,-107.5,COLO,Gunnison R,0,41,MorrowPoint ,117,Morrow Point (dam) Reservoir on the Gunnison River,,,38.45,-107.5,,1272
